Theta: 1.570700
periodo,theta_Calc,theta_Anali
0.063000,1.540221,1.109819
0.063100,1.540124,1.109125
0.063200,1.540028,1.108432
0.063300,1.539931,1.107739
0.063400,1.539834,1.107046
0.063500,1.539737,1.106353
0.063600,1.539639,1.105660
0.063700,1.539542,1.104967
0.063800,1.539444,1.104274
0.063900,1.539347,1.103582
0.064000,1.539249,1.102890
0.064100,1.539151,1.102197
0.064200,1.539053,1.101505
0.064300,1.538954,1.100813
0.064400,1.538856,1.100121
0.064500,1.538757,1.099430
0.064600,1.538658,1.098738
0.064700,1.538559,1.098046
0.064800,1.538460,1.097355
0.064900,1.538361,1.096664
0.065000,1.538262,1.095972
0.065100,1.538162,1.095281
0.065200,1.538062,1.094590
0.065300,1.537963,1.093900
0.065400,1.537863,1.093209
0.065500,1.537762,1.092518
0.065600,1.537662,1.091828
0.065700,1.537562,1.091138
0.065800,1.537461,1.090447
0.065900,1.537360,1.089757
0.066000,1.537259,1.089067
0.066100,1.537158,1.088377
0.066200,1.537057,1.087688
0.066300,1.536956,1.086998
0.066400,1.536854,1.086308
0.066500,1.536753,1.085619
0.066600,1.536651,1.084930
0.066700,1.536549,1.084240
0.066800,1.536447,1.083551
0.066900,1.536345,1.082862
0.067000,1.536242,1.082174
0.067100,1.536140,1.081485
0.067200,1.536037,1.080796
0.067300,1.535934,1.080108
0.067400,1.535831,1.079420
0.067500,1.535728,1.078731
0.067600,1.535625,1.078043
0.067700,1.535521,1.077355
0.067800,1.535418,1.076667
0.067900,1.535314,1.075980
0.068000,1.535210,1.075292
0.068100,1.535106,1.074604
0.068200,1.535002,1.073917
0.068300,1.534897,1.073230
0.068400,1.534793,1.072543
0.068500,1.534688,1.071855
0.068600,1.534583,1.071169
0.068700,1.534478,1.070482
0.068800,1.534373,1.069795
0.068900,1.534268,1.069108
0.069000,1.534162,1.068422
0.069100,1.534057,1.067736
0.069200,1.533951,1.067049
0.069300,1.533845,1.066363
0.069400,1.533739,1.065677
0.069500,1.533633,1.064991
0.069600,1.533527,1.064306
0.069700,1.533420,1.063620
0.069800,1.533314,1.062934
0.069900,1.533207,1.062249
0.070000,1.533100,1.061564
0.070100,1.532993,1.060879
0.070200,1.532886,1.060194
0.070300,1.532778,1.059509
0.070400,1.532671,1.058824
0.070500,1.532563,1.058139
0.070600,1.532455,1.057454
0.070700,1.532347,1.056770
0.070800,1.532239,1.056086
0.070900,1.532131,1.055401
0.071000,1.532022,1.054717
0.071100,1.531914,1.054033
0.071200,1.531805,1.053349
0.071300,1.531696,1.052666
0.071400,1.531587,1.051982
0.071500,1.531478,1.051299
0.071600,1.531369,1.050615
0.071700,1.531259,1.049932
0.071800,1.531150,1.049249
0.071900,1.531040,1.048566
0.072000,1.530930,1.047883
0.072100,1.530820,1.047200
0.072200,1.530710,1.046517
0.072300,1.530599,1.045835
0.072400,1.530489,1.045152
0.072500,1.530378,1.044470
0.072600,1.530267,1.043787
0.072700,1.530156,1.043105
0.072800,1.530045,1.042423
0.072900,1.529934,1.041741
0.073000,1.529822,1.041060
0.073100,1.529711,1.040378
0.073200,1.529599,1.039696
0.073300,1.529487,1.039015
0.073400,1.529375,1.038334
0.073500,1.529263,1.037653
0.073600,1.529151,1.036972
0.073700,1.529038,1.036291
0.073800,1.528926,1.035610
0.073900,1.528813,1.034929
0.074000,1.528700,1.034248
0.074100,1.528587,1.033568
0.074200,1.528474,1.032888
0.074300,1.528360,1.032207
0.074400,1.528247,1.031527
0.074500,1.528133,1.030847
0.074600,1.528019,1.030167
0.074700,1.527905,1.029487
0.074800,1.527791,1.028808
0.074900,1.527677,1.028128
0.075000,1.527562,1.027449
0.075100,1.527448,1.026770
0.075200,1.527333,1.026090
0.075300,1.527218,1.025411
0.075400,1.527103,1.024732
0.075500,1.526988,1.024053
0.075600,1.526873,1.023375
0.075700,1.526757,1.022696
0.075800,1.526641,1.022018
0.075900,1.526526,1.021339
0.076000,1.526410,1.020661
0.076100,1.526294,1.019983
0.076200,1.526177,1.019305
0.076300,1.526061,1.018627
0.076400,1.525945,1.017949
0.076500,1.525828,1.017271
0.076600,1.525711,1.016594
0.076700,1.525594,1.015916
0.076800,1.525477,1.015239
0.076900,1.525360,1.014562
0.077000,1.525242,1.013885
0.077100,1.525125,1.013208
0.077200,1.525007,1.012531
0.077300,1.524889,1.011854
0.077400,1.524771,1.011178
0.077500,1.524653,1.010501
0.077600,1.524535,1.009825
0.077700,1.524416,1.009148
0.077800,1.524297,1.008472
0.077900,1.524179,1.007796
0.078000,1.524060,1.007120
0.078100,1.523941,1.006445
0.078200,1.523822,1.005769
0.078300,1.523702,1.005093
0.078400,1.523583,1.004418
0.078500,1.523463,1.003742
0.078600,1.523343,1.003067
0.078700,1.523223,1.002392
0.078800,1.523103,1.001717
0.078900,1.522983,1.001042
0.079000,1.522862,1.000367
0.079100,1.522742,0.999693
0.079200,1.522621,0.999018
0.079300,1.522500,0.998344
0.079400,1.522379,0.997670
0.079500,1.522258,0.996995
0.079600,1.522137,0.996321
0.079700,1.522015,0.995647
0.079800,1.521894,0.994974
0.079900,1.521772,0.994300
0.080000,1.521650,0.993626
0.080100,1.521528,0.992953
0.080200,1.521406,0.992279
0.080300,1.521283,0.991606
0.080400,1.521161,0.990933
0.080500,1.521038,0.990260
0.080600,1.520915,0.989587
0.080700,1.520792,0.988914
0.080800,1.520669,0.988242
0.080900,1.520546,0.987569
0.081000,1.520423,0.986897
0.081100,1.520299,0.986224
0.081200,1.520175,0.985552
0.081300,1.520052,0.984880
0.081400,1.519928,0.984208
0.081500,1.519803,0.983536
0.081600,1.519679,0.982865
0.081700,1.519555,0.982193
0.081800,1.519430,0.981521
0.081900,1.519305,0.980850
0.082000,1.519181,0.980179
0.082100,1.519055,0.979508
0.082200,1.518930,0.978837
0.082300,1.518805,0.978166
0.082400,1.518679,0.977495
0.082500,1.518554,0.976824
0.082600,1.518428,0.976154
0.082700,1.518302,0.975483
0.082800,1.518176,0.974813
0.082900,1.518050,0.974143
0.083000,1.517923,0.973472
0.083100,1.517797,0.972802
0.083200,1.517670,0.972133
0.083300,1.517543,0.971463
0.083400,1.517416,0.970793
0.083500,1.517289,0.970124
0.083600,1.517162,0.969454
0.083700,1.517035,0.968785
0.083800,1.516907,0.968116
0.083900,1.516779,0.967447
0.084000,1.516651,0.966778
0.084100,1.516523,0.966109
0.084200,1.516395,0.965440
0.084300,1.516267,0.964772
0.084400,1.516138,0.964103
0.084500,1.516010,0.963435
0.084600,1.515881,0.962766
0.084700,1.515752,0.962098
0.084800,1.515623,0.961430
0.084900,1.515494,0.960762
0.085000,1.515365,0.960095
0.085100,1.515235,0.959427
0.085200,1.515105,0.958759
0.085300,1.514976,0.958092
0.085400,1.514846,0.957425
0.085500,1.514716,0.956757
0.085600,1.514585,0.956090
0.085700,1.514455,0.955423
0.085800,1.514324,0.954756
0.085900,1.514194,0.954090
0.086000,1.514063,0.953423
0.086100,1.513932,0.952757
0.086200,1.513801,0.952090
0.086300,1.513669,0.951424
0.086400,1.513538,0.950758
0.086500,1.513406,0.950092
0.086600,1.513275,0.949426
